DOR Code,Municipality,Year,Labor Force,Employed,Unemployed,Unemployment Rate
001,Abington,2012,"9,152","8,510",642,7.01
001,Abington,2013,"9,269","8,607",662,7.14
001,Abington,2014,"8,809","8,284",525,5.96
001,Abington,2015,"8,838","8,369",469,5.31
001,Abington,2016,"8,912","8,537",375,4.21
001,Abington,2017,"9,033","8,681",352,3.9
001,Abington,2018,"9,503","9,218",285,3
001,Abington,2019,"9,393","9,107",286,3.04
001,Abington,2020,"8,875","8,280",595,6.7
002,Acton,2012,"12,440","11,906",534,4.29
002,Acton,2013,"12,595","12,030",565,4.49
002,Acton,2014,"12,108","11,600",508,4.2
002,Acton,2015,"12,290","11,856",434,3.53
002,Acton,2016,"12,419","12,073",346,2.79
002,Acton,2017,"12,633","12,276",357,2.83
002,Acton,2018,"13,291","13,036",255,1.92
002,Acton,2019,"13,038","12,776",262,2.01
002,Acton,2020,"12,274","11,616",658,5.36
003,Acushnet,2012,"5,749","5,278",471,8.19
003,Acushnet,2013,"5,894","5,341",553,9.38
003,Acushnet,2014,"6,088","5,629",459,7.54
003,Acushnet,2015,"6,127","5,740",387,6.32
003,Acushnet,2016,"6,141","5,830",311,5.06
003,Acushnet,2017,"6,174","5,877",297,4.81
003,Acushnet,2018,"6,403","6,204",199,3.11
003,Acushnet,2019,"6,331","6,111",220,3.47
003,Acushnet,2020,"5,960","5,613",347,5.82
004,Adams,2012,"4,438","4,046",392,8.83
004,Adams,2013,"4,327","3,923",404,9.34
004,Adams,2014,"4,321","3,964",357,8.26
004,Adams,2015,"4,260","3,987",273,6.41
004,Adams,2016,"4,174","3,953",221,5.29
004,Adams,2017,"4,247","4,030",217,5.11
004,Adams,2018,"4,329","4,141",188,4.34
004,Adams,2019,"4,126","3,959",167,4.05
004,Adams,2020,"3,912","3,611",301,7.69
005,Agawam,2012,"15,380","14,392",988,6.42
005,Agawam,2013,"15,640","14,523","1,117",7.14
005,Agawam,2014,"15,844","14,907",937,5.91
005,Agawam,2015,"15,890","15,093",797,5.02
005,Agawam,2016,"15,894","15,223",671,4.22
005,Agawam,2017,"15,978","15,361",617,3.86
005,Agawam,2018,"16,755","16,244",511,3.05
005,Agawam,2019,"16,548","16,060",488,2.95
005,Agawam,2020,"15,237","14,310",927,6.08
006,Alford,2012,285,276,9,3.16
006,Alford,2013,279,273,6,2.15
006,Alford,2014,241,233,8,3.32
006,Alford,2015,245,239,6,2.45
006,Alford,2016,242,236,6,2.48
006,Alford,2017,242,236,6,2.48
006,Alford,2018,251,247,4,1.59
006,Alford,2019,235,232,3,1.28
006,Alford,2020,231,225,6,2.6
007,Amesbury,2012,"8,767","8,236",531,6.06
007,Amesbury,2013,"8,749","8,237",512,5.85
007,Amesbury,2014,"9,721","9,235",486,5
007,Amesbury,2015,"10,148","9,717",431,4.25
007,Amesbury,2016,"10,193","9,865",328,3.22
007,Amesbury,2017,"10,301","9,994",307,2.98
