DOR Code,Municipality,County,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
001,Abington,PLYMOUTH,"16,042","16,060","16,124","16,179","16,227","16,322","16,400","16,516","16,668","17,062"
002,Acton,MIDDLESEX,"22,261","22,599","22,891","23,253","23,549","23,610","23,712","23,738","23,662","24,021"
003,Acushnet,BRISTOL,"10,309","10,326","10,350","10,415","10,477","10,473","10,507","10,580","10,625","10,559"
004,Adams,BERKSHIRE,"8,420","8,383","8,332","8,260","8,187","8,161","8,104","8,077","8,010","8,166"
005,Agawam,HAMPDEN,"28,573","28,608","28,705","28,728","28,839","28,693","28,696","28,854","28,613","28,692"
006,Alford,BERKSHIRE,495,492,491,495,495,493,491,491,488,486
007,Amesbury,ESSEX,"16,437","16,535","16,650","17,294","17,414","17,337","17,474","17,569","17,532","17,366"
008,Amherst,HAMPSHIRE,"38,991","39,016","38,919","39,826","39,833","40,036","39,523","39,503","39,924","39,263"
009,Andover,ESSEX,"33,869","34,142","34,477","35,035","35,299","35,475","35,803","36,403","36,356","36,569"
010,Arlington,MIDDLESEX,"43,293","43,711","44,028","44,477","44,815","45,226","45,385","45,624","45,531","46,308"
011,Ashburnham,WORCESTER,"6,110","6,134","6,155","6,181","6,209","6,224","6,306","6,346","6,348","6,315"
012,Ashby,MIDDLESEX,"3,106","3,140","3,161","3,209","3,226","3,205","3,219","3,234","3,219","3,193"
013,Ashfield,FRANKLIN,"1,740","1,739","1,733","1,729","1,723","1,726","1,733","1,734","1,717","1,695"
014,Ashland,MIDDLESEX,"16,801","16,993","17,150","17,317","17,573","17,571","17,671","17,739","17,807","18,832"
015,Athol,WORCESTER,"11,620","11,631","11,619","11,626","11,654","11,670","11,717","11,753","11,732","11,945"
016,Attleboro,BRISTOL,"43,689","43,837","43,886","44,074","44,284","44,413","44,744","45,117","45,237","46,461"
017,Auburn,WORCESTER,"16,237","16,287","16,315","16,414","16,516","16,604","16,683","16,782","16,766","16,889"
018,Avon,NORFOLK,"4,374","4,386","4,454","4,490","4,498","4,496","4,504","4,519","4,549","4,777"
019,Ayer,MIDDLESEX,"7,585","7,688","7,821","7,913","8,001","8,086","8,127","8,164","8,196","8,479"
020,Barnstable,BARNSTABLE,"44,932","44,824","44,641","44,487","44,331","44,155","44,165","44,460","44,477","48,916"
